volunteer_id,year,college_code,college_name,major_name,candidate_count,candidate_majors,curated_chosen_major,curated_resolution_status
0001-040,2023,0001,浙江大学(“双一流”建设高校),"应用生物科学(农学,含竺可桢学院新农科实验班)",2,应用生物科学(农学); 应用生物科学(生工食品),,
0001-040,2024,0001,浙江大学(“双一流”建设高校),"应用生物科学(农学,含竺可桢学院新农科实验班)",2,"应用生物科学(农学,含新农科实验班); 应用生物科学(生工食品)",,
0004-045,2023,0004,浙江师范大学(省重点建设高校),生物科学(师范),2,生物科学(初阳学院); 生物科学类,,
0014-034,2023,0014,浙江万里学院,电子商务,2,电子商务及法律; 电子商务类,,
0021-034,2023,0021,湖州师范大学,护理学,2,护理; 次护理学,,
0051-509,2023,0051,浙江经济职业技术学院,现代物流管理,2,现代物流管理(中外合作办学); 现代物流管理(跨境物流),,
0058-537,2023,0058,浙江纺织服装职业技术学院,城市轨道交通机电技术,2,城市轨道交通机电技术(宁波轨道); 城市轨道交通机电技术(站务管理),,
0060-506,2023,0060,杭州职业技术大学,服装设计与工艺,2,服装设计与工艺(中外合作办学); 服装设计与工艺(服装智慧营销),,
0093-003,2023,0093,浙江师范大学行知学院,工商管理,2,工商管理类; 工商管理类(财务会计方向),,
0106-510,2023,0106,浙江同济科技职业学院,建筑工程技术(中外合作办学),2,建筑工程技术; 建筑工程技术(中外合作办学)(中美合作),,
0129-525,2023,0129,浙江农业商贸职业学院,电子商务,2,农村电子商务; 跨境电子商务,,
0129-525,2024,0129,浙江农业商贸职业学院,电子商务,2,农村电子商务; 跨境电子商务,,
0129-525,2025,0129,浙江农业商贸职业学院,电子商务,2,农村电子商务; 跨境电子商务,,
0199-503,2023,0199,浙江药科职业大学,药物制剂技术(中外合作办学),2,药物制剂; 药物制剂技术,,
0199-503,2024,0199,浙江药科职业大学,药物制剂技术(中外合作办学),2,药物制剂; 药物制剂技术,,
1105-010,2024,1105,北京第二外国语学院,翻译(中英法复语),2,翻译(中英法复语实验班); 翻译(涉外法律服务实验班),,
1105-013,2024,1105,北京第二外国语学院,财务管理(西语复合),2,财务管理(智能财务); 财务管理(资本量化分析),,
1106-006,2023,1106,北京第二外国语学院中瑞酒店管理学院,金融学(酒店资产管理),2,金融学; 金融学(国际班),,
1106-006,2024,1106,北京第二外国语学院中瑞酒店管理学院,金融学(酒店资产管理),2,金融学; 金融学(国际班),,
