volunteer_id,year,college_code,college_name,major_name,history_college_name,history_major_name,history_lowest_score,history_lowest_rank,history_source_page,match_level
0001-034,2024,0001,浙江大学(“双一流”建设高校),机器人工程,浙江大学,机器人工程(荣誉项目班),700,259.0,12,base
0001-034,2025,0001,浙江大学(“双一流”建设高校),机器人工程,浙江大学,机器人工程(荣誉项目班),692,394.0,12,base
0004-045,2023,0004,浙江师范大学(省重点建设高校),生物科学(师范),浙江师范大学,生物科学(初阳学院),637,20809.0,13,base
0008-022,2023,0008,浙江理工大学(省重点建设高校),国际经济与贸易(跨境电商与金融),浙江理工大学,国际经济与贸易(英文授课班),598,54130.0,15,base
0008-022,2024,0008,浙江理工大学(省重点建设高校),国际经济与贸易(跨境电商与金融),浙江理工大学,国际经济与贸易(英文授课班),607,46155.0,15,base
0008-022,2025,0008,浙江理工大学(省重点建设高校),国际经济与贸易(跨境电商与金融),浙江理工大学,国际经济与贸易(英文授课班),604,47841.0,15,base
0008-030,2025,0008,浙江理工大学(省重点建设高校),机械设计制造及其自动化,浙江理工大学,自动化,608,43036.0,15,contains_unique
0009-042,2023,0009,温州医科大学(省重点建设高校),中药学,温州医科大学,药学(生物药学创新实验班),619,34230.0,16,contains_unique
0013-031,2023,0013,中国计量大学(省市共建重点高校),质量管理工程,中国计量大学,质量管理工程(卓越工程师),594,58441.0,18,base
0015-046,2023,0015,浙江科技大学,工商管理类(中德联合培养),浙江科技学院,工商管理类,567,87940.0,19,base
0015-046,2024,0015,浙江科技大学,工商管理类(中德联合培养),浙江科技大学,工商管理类,586,68663.0,19,base
0020-010,2025,0020,杭州师范大学(省重点建设高校),小学教育(师范),杭州师范大学,小学教育(经亨颐实验班)(师范),620,31899.0,22,base
0020-011,2025,0020,杭州师范大学(省重点建设高校),学前教育(师范),杭州师范大学,学前教育(经亨颐实验班)(师范),605,46652.0,22,base
0020-012,2025,0020,杭州师范大学(省重点建设高校),特殊教育(师范),杭州师范大学,特殊教育(经亨颐实验班)(师范),612,39161.0,22,base
0020-014,2025,0020,杭州师范大学(省重点建设高校),教育技术学(师范),杭州师范大学,教育技术学(经亨颐实验班)(师范),595,57221.0,22,base
0020-022,2023,0020,杭州师范大学(省重点建设高校),数学与应用数学(师范),杭州师范大学,数学与应用数学(经亨颐实验班)(师范),622,31492.0,22,base
0020-022,2024,0020,杭州师范大学(省重点建设高校),数学与应用数学(师范),杭州师范大学,数学与应用数学(经亨颐实验班)(师范),600,53053.0,22,base
0020-022,2025,0020,杭州师范大学(省重点建设高校),数学与应用数学(师范),杭州师范大学,数学与应用数学(经亨颐实验班)(师范),597,54882.0,22,base
0020-028,2024,0020,杭州师范大学(省重点建设高校),高分子材料与工程,杭州师范大学,高分子材料与工程(中外合作办学),560,98609.0,22,base
